Student_ID,Study_Hours,Scores
1,1.2,28
2,1.5,32
3,1.8,35
4,2.0,38
5,2.2,40
6,2.5,43
7,2.7,46
8,3.0,49
9,3.2,50
10,3.5,53
11,3.7,56
12,4.0,58
13,4.2,61
14,4.5,64
15,4.7,65
16,5.0,68
17,5.2,70
18,5.5,73
19,5.7,74
20,6.0,77
21,6.2,78
22,6.5,80
23,6.7,82
24,7.0,84
25,7.2,85
26,7.5,87
27,7.7,89
28,8.0,90
29,8.2,91
30,8.5,93
31,8.7,94
32,9.0,95
33,9.2,96
34,9.5,98
35,9.7,99
36,1.1,27
37,1.3,30
38,1.6,34
39,1.9,36
40,2.1,39
41,2.4,42
42,2.6,44
43,2.9,47
44,3.1,48
45,3.4,52
46,3.6,54
47,3.9,57
48,4.1,60
49,4.4,62
50,4.6,64
51,4.9,67
52,5.1,69
53,5.4,72
54,5.6,74
55,5.9,76
56,6.1,79
57,6.4,81
58,6.6,83
59,6.9,85
60,7.1,86
61,7.4,88
62,7.6,89
63,7.9,91
64,8.1,92
65,8.4,93
66,8.6,94
67,8.9,95
68,9.1,97
69,9.4,98
70,9.6,99
71,1.4,31
72,1.7,33
73,2.3,41
74,2.8,45
75,3.3,51
76,3.8,55
77,4.3,61
78,4.8,66
79,5.3,71
80,5.8,75
81,6.3,80
82,6.8,84
83,7.3,87
84,7.8,90
85,8.3,92
86,8.8,95
87,9.3,97
88,9.8,100
89,2.4,43
90,3.5,54
91,4.7,66
92,5.9,77
93,6.8,83
94,7.4,88
95,8.2,91
96,8.9,96
97,9.4,98
98,5.0,69
99,6.0,78
100,7.0,85
